DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Evolução: Óbito pelo agravo notificado
Período:2024
"Município de residência";"Casos_Prováveis"
"110002 ARIQUEMES";1
"110006 COLORADO DO OESTE";1
"110009 ESPIGAO D'OESTE";1
"110020 PORTO VELHO";1
"110149 SAO FRANCISCO DO GUAPORE";1
"120020 CRUZEIRO DO SUL";1
"130230 JUTAI";2
"130240 LABREA";2
"130260 MANAUS";2
"150060 ALTAMIRA";1
"150140 BELEM";4
"150210 CAMETA";2
"150215 CANAA DOS CARAJAS";1
"150260 COLARES";1
"150420 MARABA";1
"150460 MOCAJUBA";1
"150480 MONTE ALEGRE";1
"160030 MACAPA";9
"160050 OIAPOQUE";2
"160053 PORTO GRANDE";1
"160060 SANTANA";2
"170210 ARAGUAINA";2
"170370 BREJINHO DE NAZARE";1
"171660 PEIXE";2
"172025 SAO SALVADOR DO TOCANTINS";1
"172090 TAGUATINGA";1
"210210 BREJO";1
"210590 LAGO VERDE";1
"211110 SAO JOAO DOS PATOS";1
"211130 SAO LUIS";5
"220115 BAIXA GRANDE DO RIBEIRO";2
"220190 BOM JESUS";7
"220220 CAMPO MAIOR";1
"220290 CORRENTE";1
"220323 CURRAIS";1
"220370 ESPERANTINA";2
"220390 FLORIANO";1
"220530 JERUMENHA";1
"220535 JOAO COSTA";1
"220550 JOSE DE FREITAS";1
"220590 MANOEL EMIDIO";1
"221000 SAO JOAO DO PIAUI";1
"221100 TERESINA";3
"230205 BARROQUINHA";1
"230220 BEBERIBE";1
"230440 FORTALEZA";2
"230640 ITAPIPOCA";1
"230765 MARACANAU";1
"231060 PENAFORTE";1
"231140 QUIXERAMOBIM";1
"231410 VICOSA DO CEARA";1
"240180 BREJINHO";1
"240490 ITAU";1
"240720 MACAU";1
"250070 SAO JOAO DO RIO DO PEIXE";1
"250320 CABEDELO";1
"250390 CAMALAU";1
"250400 CAMPINA GRANDE";2
"250430 CATOLE DO ROCHA";1
"250460 CONDE";1
"250750 JOAO PESSOA";2
"250860 LUCENA";1
"250920 MASSARANDUBA";1
"260160 BELEM DE SAO FRANCISCO";1
"260600 GARANHUNS";1
"260805 JATOBA";1
