Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2024
"Município de residência";"Todos_os_casos"
"110001 ALTA FLORESTA D'OESTE";3
"110002 ARIQUEMES";168
"110004 CACOAL";262
"110005 CEREJEIRAS";243
"110006 COLORADO DO OESTE";2
"110008 COSTA MARQUES";5
"110009 ESPIGAO D'OESTE";2
"110010 GUAJARA-MIRIM";1
"110011 JARU";3
"110012 JI-PARANA";38
"110013 MACHADINHO D'OESTE";2
"110014 NOVA BRASILANDIA D'OESTE";4
"110015 OURO PRETO DO OESTE";1
"110020 PORTO VELHO";1541
"110025 PRESIDENTE MEDICI";15
"110026 RIO CRESPO";1
"110028 ROLIM DE MOURA";8
"110030 VILHENA";8
"110032 SAO MIGUEL DO GUAPORE";3
"110033 NOVA MAMORE";3
"110040 ALTO PARAISO";3
"110045 BURITIS";4
"110050 NOVO HORIZONTE DO OESTE";1
"110060 CACAULANDIA";32
"110080 CANDEIAS DO JAMARI";26
"110092 CHUPINGUAIA";2
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";3
"110140 MONTE NEGRO";2
"110145 PARECIS";1
"110146 PIMENTEIRAS DO OESTE";3
"110147 PRIMAVERA DE RONDONIA";3
"110148 SAO FELIPE D'OESTE";1
"110149 SAO FRANCISCO DO GUAPORE";1
"110150 SERINGUEIRAS";1
"120001 ACRELANDIA";1
"120005 ASSIS BRASIL";3
"120010 BRASILEIA";6
"120013 BUJARI";2
"120017 CAPIXABA";2
"120020 CRUZEIRO DO SUL";300
"120025 EPITACIOLANDIA";7
"120030 FEIJO";6
"120032 JORDAO";1
"120033 MANCIO LIMA";3
"120034 MANOEL URBANO";3
"120035 MARECHAL THAUMATURGO";61
"120038 PLACIDO DE CASTRO";4
"120039 PORTO WALTER";3
"120040 RIO BRANCO";511
"120042 RODRIGUES ALVES";6
"120043 SANTA ROSA DO PURUS";3
"120045 SENADOR GUIOMARD";1
"120050 SENA MADUREIRA";7
"120060 TARAUACA";2
"120080 PORTO ACRE";7
"130014 APUI";1
"130040 BARCELOS";1
"130063 BERURI";5
"130070 BOCA DO ACRE";4
"130080 BORBA";4
"130090 CANUTAMA";14
"130100 CARAUARI";34
"130120 COARI";57
"130150 ENVIRA";1
